content,priority
"When I get my new table in place, pls arrange for the round table to be moved into Cheryl's office; just the table, not the chairs. She and I discussed what else could come out of her space. Thx.", 5
"Dearest Cheryl - You are so good at what you do. I was reminded of it this morning when I heard you on NPR. You're the perfect person to be on the ground dealing with the operation and also translating for the public what is going on. I know you don't enjoy doing press, but you are very good at it and I think it is important for the American public to understand the mission of the U.S. government and the high respect and deference you are giving to the Haitian government. You really got that across this morning. Sending you lots of love and good luck in your incredibly important mission. xo, Ann", 5
"Jake — it would be useful if HRC could call Wen Jiabao", 4
"What's your take on the impact of this version?",5
"H: Jim Fallows told me he was at your speech and thrilled by it. He's just returned from three years in China. He didn't expect you would be so frank. Here's his post on The Atlantic website. Sid http://jamesfallows.theatlantic.com/archives/2010/01/a_momentous_40_hours.php#more <http://ad.doubleclick.net/click%3Bh=v8/392a/3/0/%2a/d%3B220891182%3B0-0%3B0%3B44073402%3B3454-728/90%3B33541978/33559856/1%3B%3B%7Efdr%3D220121663%3B0-0%3B1%3B17654873%3B3454-728/90%3B34945512/34963342/1%3B%3B%7Esscs%3D%3fhttp://www.adobe.com/opengov/?sdid=FCFPP> <http://ad.doubleclick.net/jump/TheAtlanticOnline/james_fallows;pos=topleader;tile=1;sz=728x90,468x60;ord=352212
445?>", 3
"Ill add to grid. His cell is ###",2
"Shall we wait until we make decisions",3
"I want to debrief you on my call w Davutogla and discuss strategy. Pis try to read the memcon before we meet. Thx.",5
"This is an AFP report from today. Also, GTIP is working on a memo for you and Cheryl about child trafficking dangers in Haiti. Trafficking fears as Haiti children go missing", 5
"You guys are totally great. Please thank Secy Clinton for us - we know it wouldn't have happened without her and all of
you. We are also posting a video from Cecile on our website about this. Best, Laurie", 3
"TT (As prepared)--Thank you for all you did to make the speech yesterday so effective and powerful. We've gotten many positive comments and laid a solid foundation for future action. Please get caught up on sleep! All the best, Hillary", 4
"I have to find time to meet w Rasmussen while I'm there. Maybe 20 minutes but I will give him whatever time he wants.",5
"Dear Counselor Mills: Please convey to the Secretary my most profound thanks for her contribution to the 'It Gets Better' video series. Appreciated deeply her actions on behalf of the LGBT community within the Department and USAID, and this latest statement--that gay youth can count the Secretary of State among their supporters--is a moving and powerful message for our country. Again, my thanks, Kevin McGlothlin Team Lead, Economic Growth and Environment USAID/Mexico",3
"Fyi. So I need to do press early starting by 9.",3
"That is wonderful! Kudos to Gordon and Shaun.",2
"How would you frame the relevance? I'm copying Jake Sullivan who works w me on this.",4
"Good for him. I wish he were 50 instead 90!",2
"Agreed.",1
"Some groups going for amendment but foreign corps may be low hanging fruit. Don't know, an idea to investigate Sent via Cingular Xpress Mail with Blackberry",4
"Not sure there is a legislative fix. Haven't read the opinion yet. May require constitutional amendment.",3
"Getting a legislative fix might be a good initiative for SOTU. Let the Republicans try to oppose it. S",4
"This is unbelievable. Or maybe totally so given the forces at work.",3
"Ma'am, Thank you so much for your support for this project and for how quickly you made it move. Please convey our thanks to the Secretary for her leadership on this issue. It has truly touched our members. As you may have seen, it received wide attention within LGBT media, youth media (MTV and VH1), and the wider media. The video has over 110,000 views on youtube already, and she is likely to touch many more people as it spreads. Many thanks, Jon Jon Tollefson President Gays and Lesbians in Foreign Affairs Agencies (GLIFAA) U.S. Department of State (202) 670-5428",4
"Fyi",4
"Jake You may remember that I called on you early in the Administration on the UN statement on sexual orientation. You were tremendous as was the Secretary. This request is not in keeping with the regular hierarchy, but I had to send it. The video the Secretary did is extraordinarily powerful. Can you let her know that individual employees in the building appreciate what she has been doing on LGBT rights? I know GLIFFA will do so, but it's kind of their job to advocate. But if you could just tell her in a minute how deeply her work is touching us in the trenches, well, it's something I think she deserves to hear. http://www.youtube.com/user/statevideo#Wa/u/0/ABoW8GCDtY Lynn M. Sicade Senior Policy Advisor U.S. Department of State DRL/MLGA 202-647-2362",5
"Ok at 10:30.",4
"Is there a call sheet?",2
"Ok I'm done w Strobe. Also let's go on our trip. I think it's worth it. And we can alWays add Israel as we did before!",4
"Getting it.",2
"If we can stop in Bahrain, I'd like to but what would schedule be?",3
"Pls send me call sheet for Equadoran--i don't have a clue!",4
"Yes I did. Thx.", 2
"Sorry I mean pinato He's not available Heard u got lobo.", 3
"Ok. Can we do now?", 5
"Do you want to take it?", 2
"They were earlier but somewhere along the way disappeared!", 2
"Call sheets should have been in your call sheet folder. Not sure what happened.",2
"Of course I will do. Is the text set?", 2
"The latest thinking is that this would be a Clinton-Ashton statement. We'll make sure you have a chance to see/approve final, and we can work to incorporate any changes you have now.", 3
"Hope you're not too snowed in wherever you are. Here is the draft statement that we're trying to put out with the EU: Please let me know if you have any concerns, or need further information. Thanks! Steve", 4
"Can we do in the morning? What time works for you?", 3
"It took 19 hours but I got home at noon today. I can talk at 8:30 pm tonight if that works for you? I can also do tomorrow am.", 4
"Ok", 1
"I'm happy to talk with Shaun anytime.", 1
"Will let you know about timing on each. Apparently the VP may come up for the cloture vote but that hasn't been decided yet.", 2
"Jim appears to be largely out-of-pocket, and it's critical that he be part of the conversation. So tomorrow might be most productive.", 4
"We should get you together with Jim, Jack, and Anne-Marie on the early side tomorrow, so that your guidance can be reflected in the BCL that Anne-Marie's shop is preparing for Jim and Jack for the 5:30 DC. For what it's worth, my overall take on the document", 5
"Will do", 1
"Will start work on it right now.", 5
"Pis do letter asap.", 4
"Cannot do 8:30am.", 3
"Dear Friends, As you probably know by now, I have decided to resign as Ambassador of Panama to the White House, effective January 2 2011 Regards, Jaime", 4
"What is Eric Scwarz's email?", 3
"Think we just got him. He cosponsored the Corker missile defense amendment...", 5
"Think I may have sent this but interesting insights and overlapping ones.", 2
"We should help students whose education has been interrupted finish here or in French speaking countries. See story below.", 5
"Pls print.", 3
"This is an major achievement, and an even greater disaster averted. AM", 4
"Tom Nides was just confirmed by the Senate.", 4
"Trying to decide when to take a quick trip to Munich. Any sense of when a meeting might occur? Thanks very much. Wendy",4
"Pls have Margaret contact her to gauge interest. She would have to give up a lot. If interested, she should come in.",3
"Here's a partial list of followup from our last trip and the last week: What can we do to help protect the Christians in Iraq as requested by Ken Joseph whom we saw in Baghdad? JoDee Winterhof raised questions about how the PRTs and the language DOD uses about them are problematic for NGOs like care. Pls ask one of Holbrooke's people if they ever talked to Wolfgang Danspeckgruber at Princeton about building a railroad in Afghanistan. Also Dr. Arthur Keys at International Relief + Development wanted to talk w someone from Holbrooke's team about development in Af. I asked the Spec IG for Af Recon, Arnold Fields, to alert us to problems as soon as they can. I'm not sure how to formalize this or even if it's appropriate. Let's discuss. What are the ""Iran Watchers""?",2
"Calls with Turks will not take place this morning.",3
"Can we get each in asap for me to meet w?",2
"Do you know why?",4
"I'll call her this am.",4
"Can you talk?",2
